date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2018-01-05,1081,-499.61,-0.46217391304347827,0.5410453283996299,49,0.045328399629972246,7,0.0064754856614246065,38,0.03515263644773358,105,0.0971322849213691,787,0.7280296022201665,67,0.061979648473635525,28,0.025901942645698426,0.5,0.0,0.5,2.0,42.12,0.75
2018-01-12,1653,-716.64,-0.43353901996370237,0.5314035087719298,116,0.07017543859649122,15,0.009074410163339383,70,0.04234724742891712,239,0.14458560193587416,1082,0.6545674531155475,117,0.07078039927404718,14,0.008469449485783424,2.25,1.25,2.25,1.5,113.5,0.0
2018-01-19,1544,-648.75,-0.42017487046632124,0.5369365284974094,99,0.06411917098445596,26,0.01683937823834197,59,0.03821243523316062,179,0.11593264248704663,1030,0.667098445595855,118,0.07642487046632124,33,0.021373056994818652,0.0,1.0,0.25,2.0,204.75,1.5
2018-01-26,1975,-793.64,-0.4018430379746835,0.5212303797468355,168,0.08506329113924051,26,0.013164556962025316,77,0.0389873417721519,277,0.14025316455696202,1276,0.6460759493670886,126,0.06379746835443038,25,0.012658227848101266,0.5,1.5,4.38,7.38,117.0,3.25
2018-02-02,1252,-506.02,-0.4041693290734824,0.5230031948881789,89,0.07108626198083066,18,0.01437699680511182,47,0.037539936102236424,185,0.1477635782747604,786,0.6277955271565495,103,0.08226837060702875,24,0.019169329073482427,1.38,1.5,5.5,3.0,173.12,0.0
2018-02-09,593,-199.76,-0.3368634064080944,0.49580101180438446,65,0.10961214165261383,13,0.021922428330522766,35,0.05902192242833052,55,0.09274873524451939,348,0.5868465430016864,69,0.1163575042158516,8,0.013490725126475547,1.0,3.0,1.25,3.38,41.75,0.0
2018-02-16,763,-293.27,-0.38436435124508517,0.500694626474443,60,0.07863695937090433,10,0.01310615989515072,79,0.10353866317169069,101,0.13237221494102228,438,0.5740498034076016,64,0.08387942332896461,11,0.014416775884665793,6.0,4.25,2.0,1.0,67.75,0.5
2018-02-23,977,-398.24,-0.40761514841351076,0.5227942681678608,67,0.06857727737973388,7,0.007164790174002047,81,0.08290685772773797,174,0.1780962128966223,539,0.5516888433981576,92,0.09416581371545547,17,0.017400204708290685,0.25,2.5,1.25,2.75,61.75,0.0
2018-03-02,960,-443.51,-0.46198958333333334,0.5372604166666667,54,0.05625,4,0.004166666666666667,53,0.05520833333333333,125,0.13020833333333334,663,0.690625,52,0.05416666666666667,9,0.009375,0.0,3.75,0.0,1.75,75.0,0.5
2018-03-09,2234,-930.65,-0.41658460161145927,0.5217323187108326,144,0.06445837063563116,26,0.011638316920322292,109,0.048791405550581916,414,0.18531781557743957,1342,0.6007162041181737,151,0.067591763652641,48,0.021486123545210387,1.0,4.63,0.5,1.38,111.25,0.25
2018-03-16,1385,-596.51,-0.4306931407942238,0.520231046931408,72,0.05198555956678701,22,0.01588447653429603,63,0.04548736462093863,195,0.1407942238267148,929,0.6707581227436823,82,0.0592057761732852,21,0.01516245487364621,0.0,0.5,0.25,4.75,83.5,0.0
